order_id,month,region,category,channel,sales,quantity
S0001,2026-01,서울,도서,매장,11000,11
S0002,2026-01,부산,문구,온라인,13500,12
S0003,2026-01,대전,음료,매장,16000,13
S0004,2026-01,광주,도서,온라인,18500,14
S0005,2026-02,서울,도서,매장,12000,12
S0006,2026-02,부산,문구,온라인,14500,13
S0007,2026-02,대전,음료,매장,17000,14
S0008,2026-02,광주,도서,온라인,19500,15
S0009,2026-03,서울,도서,매장,13000,13
S0010,2026-03,부산,문구,온라인,15500,14
S0011,2026-03,대전,음료,매장,18000,15
S0012,2026-03,광주,도서,온라인,20500,16
S0013,2026-04,서울,도서,매장,14000,14
S0014,2026-04,부산,문구,온라인,16500,15
S0015,2026-04,대전,음료,매장,19000,16
S0016,2026-04,광주,도서,온라인,21500,17
S0017,2026-05,서울,도서,매장,15000,15
S0018,2026-05,부산,문구,온라인,17500,16
S0019,2026-05,대전,음료,매장,20000,17
S0020,2026-05,광주,도서,온라인,22500,18
S0021,2026-06,서울,도서,매장,16000,16
S0022,2026-06,부산,문구,온라인,18500,17
S0023,2026-06,대전,음료,매장,21000,18
S0024,2026-06,광주,도서,온라인,23500,19
S0025,2026-07,서울,도서,매장,17000,17
S0026,2026-07,부산,문구,온라인,19500,18
S0027,2026-07,대전,음료,매장,22000,19
S0028,2026-07,광주,도서,온라인,24500,20
S0029,2026-08,서울,도서,매장,18000,18
S0030,2026-08,부산,문구,온라인,20500,19
S0031,2026-08,대전,음료,매장,23000,20
S0032,2026-08,광주,도서,온라인,25500,21
S0033,2026-09,서울,도서,매장,19000,19
S0034,2026-09,부산,문구,온라인,21500,20
S0035,2026-09,대전,음료,매장,24000,21
S0036,2026-09,광주,도서,온라인,26500,22
S0037,2026-10,서울,도서,매장,20000,20
S0038,2026-10,부산,문구,온라인,22500,21
S0039,2026-10,대전,음료,매장,25000,22
S0040,2026-10,광주,도서,온라인,27500,23
S0041,2026-11,서울,도서,매장,21000,21
S0042,2026-11,부산,문구,온라인,23500,22
S0043,2026-11,대전,음료,매장,26000,23
S0044,2026-11,광주,도서,온라인,28500,24
S0045,2026-12,서울,도서,매장,22000,22
S0046,2026-12,부산,문구,온라인,24500,23
S0047,2026-12,대전,음료,매장,27000,24
S0048,2026-12,광주,도서,온라인,29500,25
