order_id,date,region,sales,quantity
L000001,2026-01-01,서울,100,1
L000002,2026-02-02,부산,200,2
L000003,2026-03-03,대전,300,3
L000004,2026-04-04,광주,400,4
L000005,2026-05-05,서울,500,5
L000006,2026-06-06,부산,600,1
L000007,2026-07-07,대전,700,2
L000008,2026-08-08,광주,800,3
L000009,2026-09-09,서울,900,4
L000010,2026-10-10,부산,1000,5
L000011,2026-11-11,대전,1100,1
L000012,2026-12-12,광주,1200,2
L000013,2026-01-13,서울,1300,3
L000014,2026-02-14,부산,1400,4
L000015,2026-03-15,대전,1500,5
L000016,2026-04-16,광주,1600,1
L000017,2026-05-17,서울,1700,2
L000018,2026-06-18,부산,1800,3
L000019,2026-07-19,대전,1900,4
L000020,2026-08-20,광주,2000,5
L000021,2026-09-21,서울,2100,1
L000022,2026-10-22,부산,2200,2
L000023,2026-11-23,대전,2300,3
L000024,2026-12-24,광주,2400,4
L000025,2026-01-25,서울,2500,5
L000026,2026-02-26,부산,2600,1
L000027,2026-03-27,대전,2700,2
L000028,2026-04-28,광주,2800,3
L000029,2026-05-01,서울,2900,4
L000030,2026-06-02,부산,3000,5
L000031,2026-07-03,대전,3100,1
L000032,2026-08-04,광주,3200,2
L000033,2026-09-05,서울,3300,3
L000034,2026-10-06,부산,3400,4
L000035,2026-11-07,대전,3500,5
L000036,2026-12-08,광주,3600,1
L000037,2026-01-09,서울,3700,2
L000038,2026-02-10,부산,3800,3
L000039,2026-03-11,대전,3900,4
L000040,2026-04-12,광주,4000,5
L000041,2026-05-13,서울,4100,1
L000042,2026-06-14,부산,4200,2
L000043,2026-07-15,대전,4300,3
L000044,2026-08-16,광주,4400,4
L000045,2026-09-17,서울,4500,5
L000046,2026-10-18,부산,4600,1
L000047,2026-11-19,대전,4700,2
L000048,2026-12-20,광주,4800,3
L000049,2026-01-21,서울,4900,4
L000050,2026-02-22,부산,5000,5
L000051,2026-03-23,대전,5100,1
L000052,2026-04-24,광주,5200,2
L000053,2026-05-25,서울,5300,3
L000054,2026-06-26,부산,5400,4
L000055,2026-07-27,대전,5500,5
L000056,2026-08-28,광주,5600,1
L000057,2026-09-01,서울,5700,2
L000058,2026-10-02,부산,5800,3
L000059,2026-11-03,대전,5900,4
L000060,2026-12-04,광주,6000,5
L000061,2026-01-05,서울,6100,1
L000062,2026-02-06,부산,6200,2
L000063,2026-03-07,대전,6300,3
L000064,2026-04-08,광주,6400,4
L000065,2026-05-09,서울,6500,5
L000066,2026-06-10,부산,6600,1
L000067,2026-07-11,대전,6700,2
L000068,2026-08-12,광주,6800,3
L000069,2026-09-13,서울,6900,4
L000070,2026-10-14,부산,7000,5
L000071,2026-11-15,대전,7100,1
L000072,2026-12-16,광주,7200,2
L000073,2026-01-17,서울,7300,3
L000074,2026-02-18,부산,7400,4
L000075,2026-03-19,대전,7500,5
L000076,2026-04-20,광주,7600,1
L000077,2026-05-21,서울,7700,2
L000078,2026-06-22,부산,7800,3
L000079,2026-07-23,대전,7900,4
L000080,2026-08-24,광주,8000,5
L000081,2026-09-25,서울,8100,1
L000082,2026-10-26,부산,8200,2
L000083,2026-11-27,대전,8300,3
L000084,2026-12-28,광주,8400,4
L000085,2026-01-01,서울,8500,5
L000086,2026-02-02,부산,8600,1
L000087,2026-03-03,대전,8700,2
L000088,2026-04-04,광주,8800,3
L000089,2026-05-05,서울,8900,4
L000090,2026-06-06,부산,9000,5
L000091,2026-07-07,대전,9100,1
L000092,2026-08-08,광주,9200,2
L000093,2026-09-09,서울,9300,3
L000094,2026-10-10,부산,9400,4
L000095,2026-11-11,대전,9500,5
L000096,2026-12-12,광주,9600,1
L000097,2026-01-13,서울,9700,2
L000098,2026-02-14,부산,9800,3
L000099,2026-03-15,대전,9900,4
L000100,2026-04-16,광주,10000,5
L000101,2026-05-17,서울,100,1
L000102,2026-06-18,부산,200,2
L000103,2026-07-19,대전,300,3
L000104,2026-08-20,광주,400,4
L000105,2026-09-21,서울,500,5
L000106,2026-10-22,부산,600,1
L000107,2026-11-23,대전,700,2
L000108,2026-12-24,광주,800,3
L000109,2026-01-25,서울,900,4
L000110,2026-02-26,부산,1000,5
L000111,2026-03-27,대전,1100,1
L000112,2026-04-28,광주,1200,2
L000113,2026-05-01,서울,1300,3
L000114,2026-06-02,부산,1400,4
L000115,2026-07-03,대전,1500,5
L000116,2026-08-04,광주,1600,1
L000117,2026-09-05,서울,1700,2
L000118,2026-10-06,부산,1800,3
L000119,2026-11-07,대전,1900,4
L000120,2026-12-08,광주,2000,5
L000121,2026-01-09,서울,2100,1
L000122,2026-02-10,부산,2200,2
L000123,2026-03-11,대전,2300,3
L000124,2026-04-12,광주,2400,4
L000125,2026-05-13,서울,2500,5
L000126,2026-06-14,부산,2600,1
L000127,2026-07-15,대전,2700,2
L000128,2026-08-16,광주,2800,3
L000129,2026-09-17,서울,2900,4
L000130,2026-10-18,부산,3000,5
L000131,2026-11-19,대전,3100,1
L000132,2026-12-20,광주,3200,2
L000133,2026-01-21,서울,3300,3
L000134,2026-02-22,부산,3400,4
L000135,2026-03-23,대전,3500,5
