date,region,category,sales,quantity
2026-01-01,부산,B,11250,2
2026-02-02,대전,C,12500,3
2026-03-03,광주,A,13750,4
2026-04-04,서울,B,15000,5
2026-05-05,부산,C,16250,6
2026-06-06,대전,A,17500,7
2026-07-07,광주,B,18750,8
2026-08-08,서울,C,20000,9
2026-01-09,부산,A,21250,10
2026-02-10,대전,B,22500,11
2026-03-11,광주,C,23750,12
2026-04-12,서울,A,25000,1
2026-05-13,부산,B,26250,2
2026-06-14,대전,C,27500,3
2026-07-15,광주,A,28750,4
2026-08-16,서울,B,30000,5
2026-01-17,부산,C,31250,6
2026-02-18,대전,A,32500,7
2026-03-19,광주,B,33750,8
2026-04-20,서울,C,35000,9
2026-05-21,부산,A,36250,10
2026-06-22,대전,B,37500,11
2026-07-23,광주,C,38750,12
2026-08-24,서울,A,40000,1
2026-01-25,부산,B,41250,2
2026-02-26,대전,C,42500,3
2026-03-27,광주,A,43750,4
2026-04-28,서울,B,45000,5
2026-05-01,부산,C,46250,6
2026-06-02,대전,A,47500,7
2026-07-03,광주,B,48750,8
2026-08-04,서울,C,50000,9
2026-01-05,부산,A,51250,10
2026-02-06,대전,B,52500,11
2026-03-07,광주,C,53750,12
2026-04-08,서울,A,55000,1
2026-05-09,부산,B,10000,2
2026-06-10,대전,C,11250,3
2026-07-11,광주,A,12500,4
2026-08-12,서울,B,13750,5
2026-01-13,부산,C,15000,6
2026-02-14,대전,A,16250,7
2026-03-15,광주,B,17500,8
2026-04-16,서울,C,18750,9
2026-05-17,부산,A,20000,10
2026-06-18,대전,B,21250,11
2026-07-19,광주,C,22500,12
2026-08-20,서울,A,23750,1
2026-01-21,부산,B,25000,2
2026-02-22,대전,C,26250,3
2026-03-23,광주,A,27500,4
2026-04-24,서울,B,28750,5
2026-05-25,부산,C,30000,6
2026-06-26,대전,A,31250,7
2026-07-27,광주,B,32500,8
2026-08-28,서울,C,33750,9
2026-01-01,부산,A,35000,10
2026-02-02,대전,B,36250,11
2026-03-03,광주,C,37500,12
2026-04-04,서울,A,38750,1
2026-05-05,부산,B,40000,2
2026-06-06,대전,C,41250,3
2026-07-07,광주,A,42500,4
2026-08-08,서울,B,43750,5
2026-01-09,부산,C,45000,6
2026-02-10,대전,A,46250,7
2026-03-11,광주,B,47500,8
2026-04-12,서울,C,48750,9
2026-05-13,부산,A,50000,10
2026-06-14,대전,B,51250,11
2026-07-15,광주,C,52500,12
2026-08-16,서울,A,53750,1
2026-01-17,부산,B,55000,2
2026-02-18,대전,C,10000,3
2026-03-19,광주,A,11250,4
2026-04-20,서울,B,12500,5
2026-05-21,부산,C,13750,6
2026-06-22,대전,A,15000,7
2026-07-23,광주,B,16250,8
2026-08-24,서울,C,17500,9
2026-01-25,부산,A,18750,10
2026-02-26,대전,B,20000,11
2026-03-27,광주,C,21250,12
2026-04-28,서울,A,22500,1
2026-05-01,부산,B,23750,2
2026-06-02,대전,C,25000,3
2026-07-03,광주,A,26250,4
2026-08-04,서울,B,27500,5
2026-01-05,부산,C,28750,6
2026-02-06,대전,A,30000,7
2026-03-07,광주,B,31250,8
2026-04-08,서울,C,32500,9
2026-05-09,부산,A,33750,10
2026-06-10,대전,B,35000,11
2026-07-11,광주,C,36250,12
2026-08-12,서울,A,37500,1
2026-01-13,부산,B,38750,2
2026-02-14,대전,C,40000,3
2026-03-15,광주,A,41250,4
2026-04-16,서울,B,42500,5
2026-05-17,부산,C,43750,6
2026-06-18,대전,A,45000,7
2026-07-19,광주,B,46250,8
2026-08-20,서울,C,47500,9
2026-01-21,부산,A,48750,10
2026-02-22,대전,B,50000,11
2026-03-23,광주,C,51250,12
2026-04-24,서울,A,52500,1
2026-05-25,부산,B,53750,2
2026-06-26,대전,C,55000,3
2026-07-27,광주,A,10000,4
2026-08-28,서울,B,11250,5
2026-01-01,부산,C,12500,6
2026-02-02,대전,A,13750,7
2026-03-03,광주,B,15000,8
2026-04-04,서울,C,16250,9
2026-05-05,부산,A,17500,10
2026-06-06,대전,B,18750,11
2026-07-07,광주,C,20000,12
2026-08-08,서울,A,21250,1
2026-01-09,부산,B,22500,2
2026-02-10,대전,C,23750,3
2026-03-11,광주,A,25000,4
2026-04-12,서울,B,26250,5
2026-05-13,부산,C,27500,6
2026-06-14,대전,A,28750,7
2026-07-15,광주,B,30000,8
2026-08-16,서울,C,31250,9
2026-01-17,부산,A,32500,10
2026-02-18,대전,B,33750,11
2026-03-19,광주,C,35000,12
2026-04-20,서울,A,36250,1
2026-05-21,부산,B,37500,2
2026-06-22,대전,C,38750,3
2026-07-23,광주,A,40000,4
2026-08-24,서울,B,41250,5
2026-01-25,부산,C,42500,6
2026-02-26,대전,A,43750,7
2026-03-27,광주,B,45000,8
2026-04-28,서울,C,46250,9
2026-05-01,부산,A,47500,10
2026-06-02,대전,B,48750,11
2026-07-03,광주,C,50000,12
2026-08-04,서울,A,51250,1
2026-01-05,부산,B,52500,2
2026-02-06,대전,C,53750,3
2026-03-07,광주,A,55000,4
2026-04-08,서울,B,10000,5
2026-05-09,부산,C,11250,6
2026-06-10,대전,A,12500,7
2026-07-11,광주,B,13750,8
2026-08-12,서울,C,15000,9
2026-01-13,부산,A,16250,10
2026-02-14,대전,B,17500,11
2026-03-15,광주,C,18750,12
2026-04-16,서울,A,20000,1
2026-05-17,부산,B,21250,2
2026-06-18,대전,C,22500,3
2026-07-19,광주,A,23750,4
2026-08-20,서울,B,25000,5
2026-01-21,부산,C,26250,6
2026-02-22,대전,A,27500,7
2026-03-23,광주,B,28750,8
2026-04-24,서울,C,30000,9
2026-05-25,부산,A,31250,10
2026-06-26,대전,B,32500,11
2026-07-27,광주,C,33750,12
2026-08-28,서울,A,35000,1
2026-01-01,부산,B,36250,2
2026-02-02,대전,C,37500,3
2026-03-03,광주,A,38750,4
2026-04-04,서울,B,40000,5
2026-05-05,부산,C,41250,6
2026-06-06,대전,A,42500,7
2026-07-07,광주,B,43750,8
2026-08-08,서울,C,45000,9
2026-01-09,부산,A,46250,10
2026-02-10,대전,B,47500,11
2026-03-11,광주,C,48750,12
2026-04-12,서울,A,50000,1
2026-05-13,부산,B,51250,2
2026-06-14,대전,C,52500,3
2026-07-15,광주,A,53750,4
2026-08-16,서울,B,55000,5
2026-01-17,부산,C,10000,6
2026-02-18,대전,A,11250,7
2026-03-19,광주,B,12500,8
2026-04-20,서울,C,13750,9
2026-05-21,부산,A,15000,10
2026-06-22,대전,B,16250,11
2026-07-23,광주,C,17500,12
2026-08-24,서울,A,18750,1
2026-01-25,부산,B,20000,2
2026-02-26,대전,C,21250,3
2026-03-27,광주,A,22500,4
2026-04-28,서울,B,23750,5
2026-05-01,부산,C,25000,6
2026-06-02,대전,A,26250,7
2026-07-03,광주,B,27500,8
2026-08-04,서울,C,28750,9
2026-01-05,부산,A,30000,10
2026-02-06,대전,B,31250,11
2026-03-07,광주,C,32500,12
2026-04-08,서울,A,33750,1
2026-05-09,부산,B,35000,2
2026-06-10,대전,C,36250,3
2026-07-11,광주,A,37500,4
2026-08-12,서울,B,38750,5
2026-01-13,부산,C,40000,6
2026-02-14,대전,A,41250,7
2026-03-15,광주,B,42500,8
2026-04-16,서울,C,43750,9
2026-05-17,부산,A,45000,10
2026-06-18,대전,B,46250,11
2026-07-19,광주,C,47500,12
2026-08-20,서울,A,48750,1
2026-01-21,부산,B,50000,2
2026-02-22,대전,C,51250,3
2026-03-23,광주,A,52500,4
2026-04-24,서울,B,53750,5
2026-05-25,부산,C,55000,6
2026-06-26,대전,A,10000,7
2026-07-27,광주,B,11250,8
2026-08-28,서울,C,12500,9
2026-01-01,부산,A,13750,10
