거래ID,집계월,유형,발생일,만기일,금액_원,비용항목,상태,기준일,고액기준_원
AR01,2026-09,미수금,2026-08-15,2026-09-15,1200000,,미수,2026-09-30,1000000
AR02,2026-09,미수금,2026-08-31,2026-09-30,300000,,미수,2026-09-30,1000000
AP01,2026-09,미지급금,2026-09-01,2026-09-24,400000,,미지급,2026-09-30,1000000
AP02,2026-09,미지급금,2026-09-05,2026-09-30,250000,,미지급,2026-09-30,1000000
AP03,2026-09,미지급금,2026-09-10,2026-10-01,180000,,미지급,2026-09-30,1000000
E0801,2026-08,비용,2026-08-15,2026-08-15,200000,운송비,지급완료,2026-09-30,1000000
E0802,2026-08,비용,2026-08-20,2026-08-20,80000,소모품비,지급완료,2026-09-30,1000000
E0901,2026-09,비용,2026-09-15,2026-09-15,250000,운송비,지급완료,2026-09-30,1000000
E0902,2026-09,비용,2026-09-20,2026-09-20,60000,소모품비,지급완료,2026-09-30,1000000
E0903,2026-09,비용,2026-09-22,2026-09-22,1000000,장비비,지급완료,2026-09-30,1000000
AR03,2026-09,미수금,,2026-09-29,200000,,미수,2026-09-30,1000000
AP04,2026-09,미지급금,2026-09-01,2026-09-23,90000,,미지급,2026-09-30,1000000
